,instance,rule,preprocessed rules,lang
0,icosahedron.website,"For an extended description of every rule, please read our about page.",for an extended description of every rule please read our about page,English
1,icosahedron.website,Be friendly.,be friendly,non-Englsih
2,icosahedron.website,Don’t start shit.,dont start shit,non-Englsih
3,icosahedron.website,Obey the law.,obey the law,English
4,icosahedron.website,Spam is not allowed.,spam is not allowed,English
5,icosahedron.website,Be aware of the nature of the network.,be aware of the nature of the network,English
6,icosahedron.website,Fascism is incompatible with a free exchange of ideas.,fascism is incompatible with a free exchange of ideas,English
7,icosahedron.website,Admin decisions are final.,admin decisions are final,non-Englsih
8,icosahedron.website,These goal of these rules is to ensure a safe and welcoming environment.,these goal of these rules is to ensure a safe and welcoming environment,English
10,maly.io,"Respect everyone: we actively moderate against racism, sexism, homophobia, transphobia... Any kind of discrimination.",respect everyone we actively moderate against racism sexism homophobia transphobia any kind of discrimination,English
11,maly.io,No NSFW without at least having a content-warning and/or posting as unlisted.,no nsfw without at least having a contentwarning andor posting as unlisted,English
12,maly.io,"Any content that is illegal in Belgium, France or Germany is prohibited.",any content that is illegal in belgium france or germany is prohibited,English
13,maly.io,Do not gather information about our users by means of web scrapers or other software alike.,do not gather information about our users by means of web scrapers or other software alike,English
14,maly.io,Don't spam.,dont spam,non-Englsih
15,mstdn.io,Respect each other,respect each other,English
16,mstdn.io,Don't spam,dont spam,non-Englsih
17,mstdn.io,Don't post illegal content,dont post illegal content,non-Englsih
18,mstdn.io,"NSFW content should be posted under content warning, the NSFW filter, or as unlisted",nsfw content should be posted under content warning the nsfw filter or as unlisted,English
19,mstdn.io,Use content warning for spoilers,use content warning for spoilers,English
20,mstdn.io,Bots and commercial accounts are prohibited.,bots and commercial accounts are prohibited,English
21,mstdn.io,"Accounts with lots of media content (images,videos,audio) are prohibited (hosting costs money!)",accounts with lots of media content imagesvideosaudio are prohibited hosting costs money,English
22,mstdn.io,"Your account may be frozen, silenced or suspended for any reason at the discretion of the moderators. Racists, nazis, xenophobes, transphobes, complotists, anti-vaxxers, pro-lifers etc are NOT welcome
",your account may be frozen silenced or suspended for any reason at the discretion of the moderators racists nazis xenophobes transphobes complotists antivaxxers prolifers etc are not welcome,English
23,mstdn.io,Accounts that are inactive (not signed in) for more than a year will be deleted. (The username will not be freed).,accounts that are inactive not signed in for more than a year will be deleted the username will not be freed,English
24,mastodon.tetaneutral.net,L'ouverture et l'utilisation d'un compte sur cette instance implique le respect de la législation française en vigueur.,louverture et lutilisation dun compte sur cette instance implique le respect de la législation française en vigueur,non-Englsih
25,mastodon.tetaneutral.net,Tout contenu manifestement illégal sera supprimé ou bloqué dès lors qu'il est signalé à l'équipe de modération.,tout contenu manifestement illégal sera supprimé ou bloqué dès lors quil est signalé à léquipe de modération,non-Englsih
26,mastodon.tetaneutral.net,"Afin de ne pas encourager le harcèlement en ligne, tout pouet signalé comme injurieux ou constituant aux yeux des personnes qui le voient une agression sera supprimé. La répétition des signalements de ce type peut entrainer la suspension du compte. (ajout le 2 août 2023)",afin de ne pas encourager le harcèlement en ligne tout pouet signalé comme injurieux ou constituant aux yeux des personnes qui le voient une agression sera supprimé la répétition des signalements de ce type peut entrainer la suspension du compte ajout le 2 août 2023,non-Englsih
27,mastodon.tetaneutral.net,"Le fascisme, le racisme et l'anti-sémitisme avancent souvent masqués sur les réseaux sociaux. Si un pouet est signalé pour l'une de ces raisons, il sera traité et supprimé comme tel, même s'il peut paraitre inoffensif. La répétition des signalements amènera à la suspension du compte.",le fascisme le racisme et lantisémitisme avancent souvent masqués sur les réseaux sociaux si un pouet est signalé pour lune de ces raisons il sera traité et supprimé comme tel même sil peut paraitre inoffensif la répétition des signalements amènera à la suspension du compte,non-Englsih
38,oulipo.social,Look at and comply with our Social Contract.,look at and comply with our social contract,English
39,toot.berlin,"Participate in an authentic and active way. In doing so, you contribute to the health and longevity of this community.",participate in an authentic and active way in doing so you contribute to the health and longevity of this community,English
40,toot.berlin,Exercise consideration and respect in your speech and actions.,exercise consideration and respect in your speech and actions,English
41,toot.berlin,Attempt collaboration before conflict.,attempt collaboration before conflict,English
42,toot.berlin,"Refrain from demeaning, discriminatory, or harassing behavior and speech.",refrain from demeaning discriminatory or harassing behavior and speech,English
