,instance,rule,preprocessed rules,lang
0,fouroclockfarms.club,"Be gay, grow wheat.
Follow the Code of Conduct ",be gay grow wheat follow the code of conduct,English
1,fouroclockfarms.club,Trans Rights are Human Rights,trans rights are human rights,English
2,fouroclockfarms.club,"Nudity, lewdity, violence, gore, drug & alcohol use, and sensitive images and topics must be behind a Content Warning and have media marked as 'Sensitive.'",nudity lewdity violence gore drug alcohol use and sensitive images and topics must be behind a content warning and have media marked as sensitive,English
3,fouroclockfarms.club,"No excessive posting of non-original content from other social media, or news sites.",no excessive posting of nonoriginal content from other social media or news sites,English
4,fouroclockfarms.club,No bulk posting or spamming the timeline,no bulk posting or spamming the timeline,English
5,fouroclockfarms.club,"Absolutely no sexual depictions of children or minors, including artistic depictions.",absolutely no sexual depictions of children or minors including artistic depictions,English
6,fouroclockfarms.club,"No commercial or third party advertising. Self promotion by creators, artists, sw, etc and sharing such content is fine. Posting/sharing mutual and community aid is also fine.",no commercial or third party advertising self promotion by creators artists sw etc and sharing such content is fine postingsharing mutual and community aid is also fine,English
7,fouroclockfarms.club,"Purposefully avoiding proper names for people, places, things, events, technologies, ideologies, philosophies, etc, with the intent to bypass user filters will result in suspension.",purposefully avoiding proper names for people places things events technologies ideologies philosophies etc with the intent to bypass user filters will result in suspension,English
8,dembowski.social,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English
9,dembowski.social,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
10,dembowski.social,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English
11,dembowski.social,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English
12,dembowski.social,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English
16,mastodon.white-void.net,"(個人利用専用) このサーバは個人利用専用です。

自分(@nya2510)以外からの登録は受け付けません。",個人利用専用 このサーバは個人利用専用です 自分nya2510以外からの登録は受け付けません,non-Englsih
17,mastodon.white-void.net,"(実験用) このサーバは実験用です。

無くなると管理者が困るので極力正しい状態を維持しますが、突然爆発して無くなるかもしれません。 ",実験用 このサーバは実験用です 無くなると管理者が困るので極力正しい状態を維持しますが突然爆発して無くなるかもしれません,non-Englsih
18,mastodon.breiteberg.de,"keine illegalen Inhalte, keine Pornografie",keine illegalen inhalte keine pornografie,non-Englsih
19,mastodon.breiteberg.de,keine Hassreden,keine hassreden,non-Englsih
20,mastodon.breiteberg.de,zivilisierter Umgang miteinander ist Pflicht,zivilisierter umgang miteinander ist pflicht,non-Englsih
21,unitedmastodon.com,No hate speech or harmful behavior.,no hate speech or harmful behavior,English
22,unitedmastodon.com,Be polite.,be polite,non-Englsih
23,unitedmastodon.com,No discrimination.,no discrimination,non-Englsih
24,unitedmastodon.com,NSFW content (including nudity) MUST be marked as sensitive AND behind a content warning.,nsfw content including nudity must be marked as sensitive and behind a content warning,English
25,unitedmastodon.com,No content with unnecessary violence or gore.,no content with unnecessary violence or gore,English
26,unitedmastodon.com,No illegal content or activity.,no illegal content or activity,English
27,unitedmastodon.com,No sharing of personal information that Is not your own.,no sharing of personal information that is not your own,English
28,social.futurnumerique.com,"No discrimination, including (but not limited to) racism, sexism, homophobia or transphobia.",no discrimination including but not limited to racism sexism homophobia or transphobia,English
29,social.futurnumerique.com,No explicit (NSFW) content without content warnings and/or sensitive media markers. Explicit content must not be used in user avatars or header images.,no explicit nsfw content without content warnings andor sensitive media markers explicit content must not be used in user avatars or header images,English
30,social.futurnumerique.com,No harassment of other users on this or other instances.,no harassment of other users on this or other instances,English
31,social.futurnumerique.com,"No content illegal in the following countries: United Kingdom, Germany, France, Canada, USA",no content illegal in the following countries united kingdom germany france canada usa,English
32,social.futurnumerique.com,No incitement of violence or promotion of violent ideologies.,no incitement of violence or promotion of violent ideologies,English
33,social.futurnumerique.com,No disinformation regarding public health issues or political/military campaigns.,no disinformation regarding public health issues or politicalmilitary campaigns,English
34,social.futurnumerique.com,"No spam. This includes commercial advertising, promotional campaigns, and SEO.",no spam this includes commercial advertising promotional campaigns and seo,English
35,social.futurnumerique.com,"Moderation works on a 'best efforts' basis. Unless indicated otherwise, all decisions should be considered final.",moderation works on a best efforts basis unless indicated otherwise all decisions should be considered final,English
36,provo.lol,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English
37,provo.lol,"No racism, sexism, homophobia, transphobia, xenophobia, ableism, or casteism",no racism sexism homophobia transphobia xenophobia ableism or casteism,non-Englsih
38,provo.lol,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English
39,provo.lol,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English
40,provo.lol,No content illegal in The Netherlands,no content illegal in the netherlands,English
41,provo.lol,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English
42,provo.lol,No covid denialism or covid minimising,no covid denialism or covid minimising,non-Englsih
43,luna.vg,Rule is not a list,rule is not a list,English
44,kclc.us,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism. ",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
45,kclc.us,No content illegal in the United States.,no content illegal in the united states,English
46,kclc.us,"No harassment, dogpiling or doxxing of other users. ",no harassment dogpiling or doxxing of other users,English
47,kclc.us,No incitement of violence or promotion of violent ideologies.,no incitement of violence or promotion of violent ideologies,English
48,kclc.us,"Bots must be marked as bots in their profile preferences, and automated posts should be unlisted.",bots must be marked as bots in their profile preferences and automated posts should be unlisted,English
49,kclc.us,Do not share intentionally false or misleading information. ,do not share intentionally false or misleading information,English
50,kclc.us,Do not spam or abuse network features.,do not spam or abuse network features,English
