,instance,rule,preprocessed rules,lang
6,social.troll.academy,Be excellent to each other,be excellent to each other,English
7,kosmos.social,Be excellent to each other.,be excellent to each other,English
8,kosmos.social,Check the detailed server rules for more information: https://kosmos.social/about#server-rules,check the detailed server rules for more information httpskosmossocialaboutserverrules,English
9,mastodon.tokyo,利用者は日本の法令や当サーバーにも適用される海外法令、利用規約、プライバシーポリシーを遵守するものとします。 ,利用者は日本の法令や当サーバーにも適用される海外法令利用規約プライバシーポリシーを遵守するものとします,non-Englsih
10,mastodon.tokyo,利用者はスパム、差別・フォビア（嫌悪）発言およびその助長、重大な虚偽の主張、他社の生命や財産の危険を招く行為、運営の妨害を行わないものとします。 ,利用者はスパム差別フォビア嫌悪発言およびその助長重大な虚偽の主張他社の生命や財産の危険を招く行為運営の妨害を行わないものとします,non-Englsih
11,mastodon.tokyo,利用者は13歳以上で、ご自分の国において個人情報の処理に同意するために十分な年齢に達しているものとします（一部の国では、ユーザーに代わって親または保護者の方に同意してもらうことを許可する場合があります）。,利用者は13歳以上でご自分の国において個人情報の処理に同意するために十分な年齢に達しているものとします一部の国ではユーザーに代わって親または保護者の方に同意してもらうことを許可する場合があります,non-Englsih
12,mastodon.cemea.org,"Cette instance Mastodon est destinée à accueillir des comptes de salarié·e·s ou militant·e·s des Ceméa. Elle traite plutôt des problématiques d'Éducation Populaire et d'Éducation Nouvelle. Elle est modérée par l'équipe des adminstrateurs système de l'Association Nationale des Ceméa.
",cette instance mastodon est destinée à accueillir des comptes de salariées ou militantes des ceméa elle traite plutôt des problématiques déducation populaire et déducation nouvelle elle est modérée par léquipe des adminstrateurs système de lassociation nationale des ceméa,non-Englsih
13,mastodon.libre-entreprise.com,"La création de comptes sur cette instance est réservée aux salariés des entreprises membres du réseau Libre-Entreprise, ainsi qu'aux observateurs (https://www.libre-entreprise.org/)",la création de comptes sur cette instance est réservée aux salariés des entreprises membres du réseau libreentreprise ainsi quaux observateurs httpswwwlibreentrepriseorg,non-Englsih
14,amicale.net,"La Netiquette et la Loi, what else ?",la netiquette et la loi what else,non-Englsih
15,mastodon.motcha.tech,日本国内法を守ってください,日本国内法を守ってください,non-Englsih
16,mastodon.motcha.tech,禁止 : 特定の相手を傷付けるための投稿（差別等）,禁止 特定の相手を傷付けるための投稿差別等,non-Englsih
17,mastodon.motcha.tech,禁止 : ユーザーとサーバーに対する迷惑行為,禁止 ユーザーとサーバーに対する迷惑行為,non-Englsih
18,inari.opencocon.org,ダンスで,ダンスで,non-Englsih
19,inari.opencocon.org,アフロを,アフロを,non-Englsih
20,inari.opencocon.org,でかくしろ,でかくしろ,non-Englsih
21,mstdn.hokkaido.jp,特にローカルルールはありませんが、日本国の法律と公序良俗を守ってご利用下さい。,特にローカルルールはありませんが日本国の法律と公序良俗を守ってご利用下さい,non-Englsih
23,toot.works,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English
24,toot.works,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
25,toot.works,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English
26,toot.works,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English
27,toot.works,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English
28,toot.works,No content illegal in the USA,no content illegal in the usa,English
29,toot.works,No police or military organization accounts,no police or military organization accounts,English
30,toot.works,No Louisiana residents are allowed to create new accounts (due to Louisiana Act No. 440),no louisiana residents are allowed to create new accounts due to louisiana act no 440,English
31,vapers.jp,法律違反しない,法律違反しない,non-Englsih
32,vapers.jp,サーバー攻撃をしない,サーバー攻撃をしない,non-Englsih
33,vapers.jp,18禁などにはちゃんと CW や NSFW を適切につける,18禁などにはちゃんと cw や nsfw を適切につける,non-Englsih
34,vapers.jp,みんな仲良く,みんな仲良く,non-Englsih
35,society.oftrolls.com,Malicious behaviour is not tolerated. Follow Wheaton's law and you'll be fine.,malicious behaviour is not tolerated follow wheatons law and youll be fine,English
38,august-don.site,サーバの負荷等により、何時でもサービスが中断・終了することがあります。,サーバの負荷等により何時でもサービスが中断終了することがあります,non-Englsih
39,august-don.site,サーバに負荷のかかる行為・他のユーザーへの迷惑行為を行うユーザーは、凍結させていただきます。,サーバに負荷のかかる行為他のユーザーへの迷惑行為を行うユーザーは凍結させていただきます,non-Englsih
40,august-don.site,このインスタンスでは、BOT送信元としてのアカウント作成と利用を禁じます。,このインスタンスではbot送信元としてのアカウント作成と利用を禁じます,non-Englsih
41,august-don.site,18禁画像などは、必ずNSFWを付与するほか、法的に認められないコンテンツのアップロードを禁じます。,18禁画像などは必ずnsfwを付与するほか法的に認められないコンテンツのアップロードを禁じます,non-Englsih
42,august-don.site,日本国の法律に反する利用はおやめください。,日本国の法律に反する利用はおやめください,non-Englsih
43,august-don.site,警察等による公的な情報提供要請があった場合、アクセス情報等を提出します。,警察等による公的な情報提供要請があった場合アクセス情報等を提出します,non-Englsih
44,toot.krinetzki.de,Die Verwaltung und Moderation wird so neutral wie möglich gehandhabt,die verwaltung und moderation wird so neutral wie möglich gehandhabt,non-Englsih
45,toot.krinetzki.de,"Die ergriffenen Maßnahmen beschränken sich auf das Nötigste, um den Betrieb des Netzes aufrechtzuerhalten und die Fähigkeit der Nutzer der Instanzen, mit anderen Personen in Verbindung zu treten, nicht zu beeinträchtigen",die ergriffenen maßnahmen beschränken sich auf das nötigste um den betrieb des netzes aufrechtzuerhalten und die fähigkeit der nutzer der instanzen mit anderen personen in verbindung zu treten nicht zu beeinträchtigen,non-Englsih
46,toot.krinetzki.de,Kommunikation vor Aktionen,kommunikation vor aktionen,non-Englsih
47,toot.krinetzki.de,Wir empfehlen keine Blocks,wir empfehlen keine blocks,non-Englsih
48,toot.krinetzki.de,Keine Schuld durch Assoziation/Verband,keine schuld durch assoziationverband,non-Englsih
52,kitty.town,"Please follow our Post Etiquette guide for topics to wrap under a Content Warning, and mark images related to those topics as sensitive. This does not apply to posts on oppression that you experience.",please follow our post etiquette guide for topics to wrap under a content warning and mark images related to those topics as sensitive this does not apply to posts on oppression that you experience,English
53,kitty.town,"No participation or promotion of oppression of any group based on gender, gender identity and expression, sexual orientation, disability, personal appearance, body size, race, ethnicity, age, religion, nationality, class, or other identity.",no participation or promotion of oppression of any group based on gender gender identity and expression sexual orientation disability personal appearance body size race ethnicity age religion nationality class or other identity,English
54,kitty.town,"No attempt to present “reverse-ism” as examples of oppression. Examples of reverse-isms include, but are not limited to “reverse racism”, “reverse sexism”, “heterophobia”, and “cisphobia”.",no attempt to present reverseism as examples of oppression examples of reverseisms include but are not limited to reverse racism reverse sexism heterophobia and cisphobia,English
55,kitty.town,No promotion or participation of fascism in any form.,no promotion or participation of fascism in any form,English
56,kitty.town,No sexual depictions of minors. ,no sexual depictions of minors,English
57,kitty.town,"No conduct intended to stalk, harass, or intimidate other users, or to impede other users from utilizing the community.",no conduct intended to stalk harass or intimidate other users or to impede other users from utilizing the community,English
58,kitty.town,"No aggregating, posting, and/or disseminating a person’s demographic, personal, or private data without express permission.",no aggregating posting andor disseminating a persons demographic personal or private data without express permission,English
59,kitty.town,"Do not continue to engage in conversation, or incite others to engage, with a user that has specifically requested for said engagement to cease which may be considered harassment, regardless of platform-specific privacy tools employed.",do not continue to engage in conversation or incite others to engage with a user that has specifically requested for said engagement to cease which may be considered harassment regardless of platformspecific privacy tools employed,English
60,kitty.town,"No trolling, insulting or derogatory comments, and/or personal attacks.",no trolling insulting or derogatory comments andor personal attacks,English
61,kitty.town,"No unapproved bots, no scrapers, and no crypto-mining operations.",no unapproved bots no scrapers and no cryptomining operations,English
62,kitty.town,"No corporate advertising. Residents of Kitty.Town are free to share their work, and ask for support (including crowdfunding or mutual aid links).",no corporate advertising residents of kittytown are free to share their work and ask for support including crowdfunding or mutual aid links,English
63,kitty.town,No plagiarism or posting other's work or creations without credit.,no plagiarism or posting others work or creations without credit,English
64,kitty.town,"No untagged (no use of the CW function, and/or no images marked as sensitive) pornography or sexually explicit content.",no untagged no use of the cw function andor no images marked as sensitive pornography or sexually explicit content,English
65,kitty.town,"No untagged (no use of the CW function, and/or no images marked as sensitive) gore or graphic violence.",no untagged no use of the cw function andor no images marked as sensitive gore or graphic violence,English
66,mstdn.b-shock.org,大事なお知らせをお伝えすることがある為、 @info のフォローは外さないでください。,大事なお知らせをお伝えすることがある為 info のフォローは外さないでください,non-Englsih
67,mastodon.cl,El contenido sexual explícito o violento no está permitido,el contenido sexual explícito o violento no está permitido,non-Englsih
68,mastodon.cl,"No está permitido el racismo, sexismo, homofobia, transfobia, xenofobia o cualquier otra actitud de discriminación",no está permitido el racismo sexismo homofobia transfobia xenofobia o cualquier otra actitud de discriminación,non-Englsih
69,mastodon.cl,No incitación a la violencia ni promoción de ideologías violentas,no incitación a la violencia ni promoción de ideologías violentas,non-Englsih
70,mastodon.cl,"No hostigamiento, dogpiling o doxxing",no hostigamiento dogpiling o doxxing,non-Englsih
71,mastodon.cl,No se permite contenido ilegal,no se permite contenido ilegal,non-Englsih
72,mastodon.cl,No compartir intencionalmente información falsa o engañosa,no compartir intencionalmente información falsa o engañosa,non-Englsih
73,mastodon.cl,Las cuentas que no tengan actividad en 6 meses podrán ser eliminadas sin previo aviso.,las cuentas que no tengan actividad en 6 meses podrán ser eliminadas sin previo aviso,non-Englsih
74,mastodon.cl,No está permitido el spam,no está permitido el spam,non-Englsih
75,nagoyadon.jp,日本国の法律を守ること,日本国の法律を守ること,non-Englsih
76,nagoyadon.jp,"非倫理的な投稿を行わない、ブーストしないこと
（ヘイトスピーチ等）",非倫理的な投稿を行わないブーストしないこと ヘイトスピーチ等,non-Englsih
77,nagoyadon.jp,"周りに迷惑をかけないこと
（スパムまがい投稿、意図的にシステムに負荷をかける行為、扇動等）",周りに迷惑をかけないこと スパムまがい投稿意図的にシステムに負荷をかける行為扇動等,non-Englsih
78,nagoyadon.jp,商用利用しないこと,商用利用しないこと,non-Englsih
