instance,period,timestamp,instance_name,rules,user_count,note
mastodon.lubar.me,jan-feb2024,20200919064810,Ben Lubar's Mastodon Instance,[],12,available-blue-dot
184.im,jan-feb2024,,,null,,no valid snapshot Jan-Feb 2024
social.oberhauser.space,jan-feb2024,,,null,,no valid snapshot Jan-Feb 2024
pix.0m.ax,jan-feb2024,20241114234308,Pixelfed,[],1,available-blue-dot
appellate.social,jan-feb2024,,,null,,no valid snapshot Jan-Feb 2024
social.restless.systems,jan-feb2024,,,null,,no valid snapshot Jan-Feb 2024
mastodon.im.sb,jan-feb2024,20220630074334,@im.sb Mastodon,"[{""id"": ""1"", ""text"": ""遵循中文互联网的通用规则。\r\n""}, {""id"": ""2"", ""text"": ""特别的，严禁儿童色情（包括二次元）、政治相关内容。\r\n""}, {""id"": ""3"", ""text"": ""严禁虚拟币推广、拉人头相关内容。""}]",227,available-blue-dot
post.lurk.org,jan-feb2024,,,null,,no valid snapshot Jan-Feb 2024
mastodon.li,jan-feb2024,20250429043640,Mastodon中文站,"[{""id"": ""4"", ""text"": ""不要發布討厭的小廣告"", ""hint"": ""不要發布討厭的小廣告""}, {""id"": ""5"", ""text"": ""為保護您的隱私，您可以考慮使用VPN登錄，並避免使用可能暴露您隱私的郵箱，如QQ郵箱，或以手機號註冊的郵箱（139、189等郵箱平台）等；"", ""hint"": ""為保護您的隱私，您可以考慮使用VPN登錄，並避免使用可能暴露您隱私的郵箱，如QQ郵箱，或以手機號註冊的郵箱（139、189等郵箱平台）等；""}, {""id"": ""6"", ""text"": ""註冊後2周內請至少使用一次您的帳號，發表內容或更換頭像均可。"", ""hint"": ""註冊後2周內請至少使用一次您的帳號，發表內容或更換頭像均可。""}, {""id"": ""8"", ""text"": ""帳號註冊成功以後儘量開啟雙重認證，確保帳戶不會被盜或者找回。"", ""hint"": ""帳號註冊成功以後儘量開啟雙重認證，確保帳戶不會被盜或者找回。""}, {""id"": ""9"", ""text"": ""和推特、微博一樣，Mastodon的私信並未加密，管理員可以通過伺服器調取信息。"", ""hint"": ""本站管理員承諾未經允許不主動調閱任何用戶的私信，但請以和微博、推特私信一樣的謹慎處理Mastodon私信，不要在其中暴露您的敏感信息，如詳細地址、銀行卡帳號、密碼等。""}]",657,available-blue-dot
types.pl,jan-feb2024,,,null,,no valid snapshot Jan-Feb 2024
pixelfed.art,jan-feb2024,20250425125214,pixelfed.art,"[{""id"": ""1"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting""}, {""id"": ""2"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, or casteism""}, {""id"": ""3"", ""text"": ""No incitement of violence or promotion of violent ideologies""}, {""id"": ""4"", ""text"": ""No harassment, dogpiling or doxxing of other users""}, {""id"": ""5"", ""text"": ""No content illegal in United States, Canada or the EU""}, {""id"": ""6"", ""text"": ""No content that includes sexual depictions of minors (this includes loli)""}, {""id"": ""7"", ""text"": ""No posting other artist's work without credit AND analysis/opinion""}, {""id"": ""8"", ""text"": ""No AI generated art""}, {""id"": ""9"", ""text"": ""No follow or hashtag spam""}]",9264,available-blue-dot
mastodon.insa.lol,jan-feb2024,20250613220859,Mastodon,"[{""id"": ""1"", ""text"": ""Pas de racisme"", ""hint"": """"}, {""id"": ""2"", ""text"": ""Pas de sexisme"", ""hint"": """"}, {""id"": ""3"", ""text"": ""Pas d'harcèlement "", ""hint"": """"}]",1677,available-blue-dot
mastodon.juggler.jp,jan-feb2024,20230606071655,juggler.jp Mastodon サービス,"[{""id"": ""1"", ""text"": ""日本の法律や判例で禁止されてることはダメです。ただし親告罪は関係者からの通報がない場合は黙認する場合があります。""}, {""id"": ""3"", ""text"": ""(ネット上のアバターを含む)実在する人格へのなりすましを禁止します。""}, {""id"": ""4"", ""text"": ""サーバ運営を妨害する行為はダメです。これはアカウント大量作成、無差別フォロー、無差別ブースト、無差別ファボを含みます。\r\n""}, {""id"": ""7"", ""text"": ""(GDPR免責) あなたがデータを削除したい場合、我々は可能な範囲で対応します。しかし連合先のサーバ上のデータの削除について完全な責任を持つことは非常に困難です。これはEUのGDPRに厳密には適合しません。ユーザはこれに同意した上でアカウントを作成したものとみなします。""}, {""id"": ""8"", ""text"": ""公開TLからのサイレンス対象。セールス、政治活動、宗教勧誘、SEO目的の投稿が多い人。公開TLに自動投稿するボット。オカルトやスピリチュアルや愚痴ばかり書いて住民からの呼びかけにはほとんど答えない人。アバターアイコンや名前が食事時に見たくない感じの人。その他管理者が公開TLに不適切であると判断したアカウントはサイレンス、凍結、停止などの処置を行う場合があります。""}, {""id"": ""10"", ""text"": ""年齢が14歳未満のユーザはこのサーバを利用できません。""}]",1812,available-blue-dot
tilde.zone,jan-feb2024,20221123043127,tilde.zone,"[{""id"": ""1"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting""}, {""id"": ""2"", ""text"": ""No fascism, racism, sexism, homophobia, transphobia, xenophobia, or casteism""}, {""id"": ""3"", ""text"": ""No incitement of violence or promotion of violent ideologies""}, {""id"": ""4"", ""text"": ""No harassment or doxxing of other users""}, {""id"": ""5"", ""text"": ""No content illegal in Germany""}, {""id"": ""6"", ""text"": ""Do not share intentionally false or misleading information""}, {""id"": ""7"", ""text"": ""No cryptocurrencies or NFTs""}, {""id"": ""8"", ""text"": ""You must be at least 13 years of age to register here""}]",1421,available-blue-dot
lor.sh,jan-feb2024,,,null,,no valid snapshot Jan-Feb 2024
sciences.social,jan-feb2024,,,null,,no valid snapshot Jan-Feb 2024
astrodon.social,jan-feb2024,20240202163027,Astrodon - The Astro Community,"[{""id"": ""1"", ""text"": ""No hate speech, sexism, ableism, homophobia, transphobia, discrimination, or harassment of any kind.""}, {""id"": ""2"", ""text"": ""Be respectful and treat others the way you want to be treated. Disagreement and collegiate discussion is acceptable, and rational debate is to be encouraged. Rudeness, insults, exclusion of others, dogpiling, and other anti-social behaviour is not.""}, {""id"": ""3"", ""text"": ""No advertising or spam content. It's okay to promote yourself (especially your work and publications!), but not paid products or services.""}, {""id"": ""4"", ""text"": ""Public images and media must be annotated. Where the material is not yours, source attribution must be provided, preferably with a link to the original. ""}, {""id"": ""5"", ""text"": ""No impersonation of others, or false representation of yourself, your credentials, or institutional affiliations.""}, {""id"": ""6"", ""text"": ""No shortened links, e.g. bit.ly, t.ly, goo.gl, ift.tt, lnkd.in, is.gd or t.co (These are malicious because link-shorteners track users without their consent and obscure the destination address, which also prevents users from being able to decide whether they want to visit the link beforehand)""}, {""id"": ""7"", ""text"": ""Use content warnings to help keep this a stress-free community. You are expected to mark off-topic content with a descriptive CW to allow other community members to engage with it or not. Stressful or triggering content (see community guidelines) must be marked with a content warning.""}]",2536,cdx-window
flipboard.social,jan-feb2024,20250422163137,Flipboard,"[{""id"": ""6"", ""text"": ""This instance is part of Flipboard and adheres to the same Community Guidelines. You can read them here https://about.flipboard.com/community-guidelines/"", ""hint"": """"}, {""id"": ""7"", ""text"": ""Keep this instance safe, respectful, and fun by not violating the rules."", ""hint"": """"}, {""id"": ""8"", ""text"": ""Consider how your post might impact others - if it might be received as offensive, painful, or otherwise unwanted, please use a content warning (CW.)"", ""hint"": """"}, {""id"": ""34"", ""text"": ""Misgendering, deadnaming, or promotion of so-called \""conversion therapy\"" is prohibited."", ""hint"": """"}]",7331,available-blue-dot
101010.pl,jan-feb2024,20221107202824,101010.pl,"[{""id"": ""2"", ""text"": ""101010.pl jest instancją udostępnioną dla wszystkich dążących do swobodnego przepływu wiadomości, wiedzy, opinii, sztuki i żartów. Nasz serwer i społeczność są do Twojej dyspozycji. Czytaj, pisz, uczestnicz i rozwijaj się wraz z nami. Jako serwer krajowy preferujemy język polski, lub angielski.""}, {""id"": ""3"", ""text"": ""Administracja 101010.pl zachowuje neutralność światopoglądową i promuje wolność słowa. Wierzymy, że sieć jest miejscem dialogu pozwalającym na wymianę różnorodnych poglądów.""}, {""id"": ""4"", ""text"": ""Masz prawo do własnego zdania. Możesz mieć lewicowe, prawicowe albo centrowe poglądy polityczne. Możesz wyznawać dowolną wiarę, albo być ateistą. Możesz reprezentować dowolną orientację seksualną.""}, {""id"": ""5"", ""text"": ""Twoje prawo do wolności to jednocześnie obowiązek. Szanuj innych, jako ludzi, nawet jeśli nie podzielasz i nie szanujesz ich poglądów. Nie agituj nachalnie, dyskutuj korzystając z argumentów i uznając prawo innych do posiadania własnego zdania.""}, {""id"": ""6"", ""text"": ""Szanuj prawo do prywatności. Pamiętaj, że nie każdy musi się z Tobą zgadzać, możesz spotkać się z krytyką. Krytyka nie jest tożsama z nietolerancją. Na tym polega wolność.""}, {""id"": ""7"", ""text"": ""Nie zostaniesz zbanowany za poglądy, ale musisz stosować się do kilku zawartych tutaj zasad. Nie bądź agresywny, nie obrażaj innych i nie groź im. Erotykę i inne treści przeznaczone dla dorosłych wstawiaj, jako treść ukrytą (przycisk CW).""}, {""id"": ""8"", ""text"": ""Powstrzymaj się od agresywnej reklamy (produktów, polityków, ideologii i czegokolwiek innego). Publikuj wyłącznie treści legalne i przestrzegaj prawa (w tym prawa lokalizacji serwera, czyli polskiego). Łamiąc prawo wyrażasz zgodę na wzięcie na siebie za to pełnej odpowiedzialności.""}]",3372,available-blue-dot
c.im,jan-feb2024,20240124120811,C.IM,"[{""id"": ""11"", ""text"": ""Respect the laws of the Netherlands and the Isle of Man, including those related to hate speech and defamation.""}, {""id"": ""12"", ""text"": ""Threatening, abusive, intolerant or illegal behavior may lead to moderation and/or further measures. We have a zero tolerance approach to racism, sexism, homophobia and transphobia. Moderation decisions are final. ""}, {""id"": ""13"", ""text"": ""The Content Warning flag should be used for NSFW content, and NSFW media should be marked as sensitive.""}, {""id"": ""14"", ""text"": ""Account registrations are monitored and accounts considered spam (including commercial advertising, political campaigning/propaganda, duplicate accounts or impersonating legal entities) will be moderated or removed.""}, {""id"": ""15"", ""text"": ""Do not harass or bully other users.""}, {""id"": ""16"", ""text"": ""Do not share illegal or copyrighted content.""}, {""id"": ""17"", ""text"": ""Do not spam or engage in any form of malicious activity.""}, {""id"": ""18"", ""text"": ""Keep discussions civil and respectful, and refrain from using derogatory language or engaging in personal attacks.""}, {""id"": ""19"", ""text"": ""Do not reveal personal information about other people without their consent.""}, {""id"": ""20"", ""text"": ""Use appropriate tags and content warnings when posting potentially sensitive or triggering content.""}, {""id"": ""21"", ""text"": ""If you see a violation of these rules, report it to the moderation team.""}, {""id"": ""22"", ""text"": ""To use our service, you are at least 18 years old.""}]",66000,cdx-window
piaille.fr,jan-feb2024,20231204082220,Piaille,"[{""id"": ""1"", ""text"": ""Conformément aux lois françaises et à la jurisprudence, les contenus pédopornographiques, y compris sous forme dessinée, sont illégaux et seront supprimés, et les comptes concernés bloqués (si distants) ou supprimés (si local).""}, {""id"": ""2"", ""text"": ""La nudité, les contenus érotiques, pornographiques ou visiblement violents doivent être marqués avec le drapeau \""sensible / sensitive\"". Les comptes ne respectant pas cette règle seront supprimés\r\n""}, {""id"": ""3"", ""text"": ""La publicité, sous forme répétée et/ou intrusive (faisant mention d'autres utilisateur·ices), n'est pas acceptée. Les comptes concernés seront rendus invisibles aux flux locaux et fédérés, ou supprimés, selon la gravité de la situation.""}, {""id"": ""4"", ""text"": ""Approchez les personnes avec précaution et politesse. Si une personne vous demande d'arrêter de la mentionner ou qu'elle exprime ne plus vouloir participer à une discussion, arrêtez immédiatement.""}, {""id"": ""5"", ""text"": ""Sont interdits les propos, images ou vidéos racistes, sexistes, homophobes, psychophobes ou transphobes.\r\n""}, {""id"": ""6"", ""text"": ""Sont interdits les avances ou propositions à caractères sexuels non-sollicitées.\r\n""}, {""id"": ""7"", ""text"": ""Sont interdit toute conduite, en public ou en privé, ayant pour but de traquer, harceler ou intimider d'autres personnes.\r\n""}, {""id"": ""8"", ""text"": ""Il est interdit de rassembler, publier, disséminer les informations personnelles d'une autre personne sans son autorisation explicite.\r\n""}, {""id"": ""9"", ""text"": ""Il est interdit de poursuivre une conversation ou inciter une personne à poursuivre une interaction avec une personne ayant réclamé la cessation de ladite interaction. Cela peut être considéré comme du harcèlement, indépendamment de la confidentialité employée.\r\n""}, {""id"": ""10"", ""text"": ""Est interdit toute tentative de retournement d’une oppression systémique. Par exemple : « racisme anti-blanc », « sexisme anti-homme », « hétérophobie », « cisphobie ».\r\n""}, {""id"": ""11"", ""text"": ""Il est interdit de publier ou diffuser intentionnellement des propos diffamatoires, calomnieux, ainsi que toute désinformation avec intention de tromper (le gorafi ou the onion sont donc autorisés). Les profils satiriques doivent être indiqués comme tels dans leur nom et description publique.\r\n""}]",28577,available-blue-dot
bae.st,jan-feb2024,20240101050516,Baest,[],8213,available-blue-dot
me.pptry.info,jan-feb2024,20250717154153,me.pptry.info,"[{""id"": ""3"", ""text"": ""他人に対して礼儀正しく、敬意を持って接しましょう。""}, {""id"": ""4"", ""text"": ""差別、暴力、嫌がらせをしてはいけません。日本法に触れるコンテンツや、他人の個人情報を無断で共有してはいけません。""}, {""id"": ""5"", ""text"": ""未成年に不適切なコンテンツの共有はできません。必要に応じて、警告ラベル（CW = Content Warning、NSFW = Not Safe For Work）をつけてください。""}, {""id"": ""6"", ""text"": ""スパム（迷惑行為）はいかなる形態でも禁止します。""}]",4,available-blue-dot
autonomous.zone,jan-feb2024,20230521002618,a federated autonomous zone,"[{""id"": ""2"", ""text"": ""    This server is antifa""}, {""id"": ""3"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, ableism and classism""}, {""id"": ""4"", ""text"": ""This server is anti-capitalist""}, {""id"": ""5"", ""text"": ""Respect the consent of others, no harassment""}, {""id"": ""6"", ""text"": ""No borders, no nations""}, {""id"": ""7"", ""text"": ""Community fridges for all!""}, {""id"": ""8"", ""text"": ""The use of image descriptions and content warnings is greatly appreciated""}]",68,available-blue-dot
med-mastodon.com,jan-feb2024,20221107235909,Med-Mastodon,"[{""id"": ""2"", ""text"": ""No hate speech""}, {""id"": ""3"", ""text"": ""No blatant misinformation""}, {""id"": ""4"", ""text"": ""No PHI""}]",1444,available-blue-dot
functional.cafe,jan-feb2024,20250226195629,Functional Café,"[{""id"": ""1"", ""text"": ""Be friendly, be respectful, stay on-topic and avoid derailing discussions."", ""hint"": """"}, {""id"": ""2"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting."", ""hint"": """"}, {""id"": ""3"", ""text"": ""No spam or advertising."", ""hint"": """"}, {""id"": ""4"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, or casteism."", ""hint"": """"}, {""id"": ""5"", ""text"": ""No incitement of violence or promotion of violent ideologies."", ""hint"": """"}, {""id"": ""6"", ""text"": ""No harassment, dogpiling or doxxing of other users on any instance."", ""hint"": """"}, {""id"": ""7"", ""text"": ""No illegal content."", ""hint"": """"}, {""id"": ""8"", ""text"": ""No spreading of fake news or misinformation."", ""hint"": """"}, {""id"": ""9"", ""text"": ""Off-topic toots should have a CW (content warning) description.\r\n\r\nWhile we encourage this behavior, please note that we will not actively seek out untagged toots."", ""hint"": """"}]",828,available-blue-dot
pol.social,jan-feb2024,,,null,,no valid snapshot Jan-Feb 2024
