,id,content,created_at,mentions,tags,favourites_count,replies_count
65,111253086739481495,"<p><strong>Protocol: Rain</strong> is quite decently produced, but, the whole esports thing isn't of any interest - coupled with the cheesy treatment afforded to the waitress in the gamer cafe it's set in, I wound up abandoning it ten minutes in. It's probably not a stinkburger of a show, but with plenty else to enjoy, I've no need for this.</p><p><a href=""https://www.animefeminist.com/protocol-rain-episode-1/"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">animefeminist.com/protocol-rai</span><span class=""invisible"">n-episode-1/</span></a></p><p><strong>My New Boss is Goofy</strong> is surprisingly fun, for an anime about Japanese working practices and bosses. Rather than the usual toxicity, here we've got a manager who actually genuinely wants the newcomer to feel valued, and <em>doesn't</em> pressure them into overtime. It's rather sweet, even. ^_^  I've no idea how well they'll be able to sustain this as a full series, but I'm up for more.</p><p><a href=""https://www.animefeminist.com/my-new-boss-is-goofy-episode-1/"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">animefeminist.com/my-new-boss-</span><span class=""invisible"">is-goofy-episode-1/</span></a></p><p><strong>Our Dating Story: The Experienced You and the Inexperienced Me</strong> is one I'm not sure about continuing. It's as the title says - she dates routinely, he's a newcomer. It's not an uninteresting dynamic, but as AF's review notes, it all comes with quite some (completely het, of course) baggage.</p><p><a href=""https://www.animefeminist.com/our-dating-story-the-experienced-you-and-the-inexperienced-me-episode-1/"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">animefeminist.com/our-dating-s</span><span class=""invisible"">tory-the-experienced-you-and-the-inexperienced-me-episode-1/</span></a></p>",2023-10-18 00:03:01+00:00,[],[],0,0
85,111253092281255648,"<p><a href=""https://mastodon.nz/tags/Wordle851"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Wordle851</span></a> 6/6</p><p>⬜🟨🟨⬜⬜<br>⬜⬜⬜🟨🟨<br>🟨⬜⬜🟨⬜<br>⬜🟩🟩⬜🟩<br>⬜🟩🟩⬜🟩<br>🟩🟩🟩🟩🟩</p>",2023-10-18 00:04:24+00:00,[],"[{'name': 'wordle851', 'url': 'https://genomic.social/tags/wordle851'}]",0,0
117,111253099058183675,"<p>Post News, a <a href=""https://masto.ai/tags/Twitter"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Twitter</span></a> alternative, gets funding from <a href=""https://masto.ai/tags/a16z"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>a16z</span></a> (Nov. 2022) <a href=""https://techcrunch.com/2022/11/28/post-news-twitter-alternative-a16z/"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">techcrunch.com/2022/11/28/post</span><span class=""invisible"">-news-twitter-alternative-a16z/</span></a> ""A16z is a curious choice for an investor in a Twitter alternative, given that the venture capital firm contributed $400 million to Musk’s Twitter acquisition."" Conservative billionaire Marc Andreessen has controlling interest in a16z.</p>",2023-10-18 00:06:11+00:00,[],"[{'name': 'twitter', 'url': 'https://genomic.social/tags/twitter'}, {'name': 'a16z', 'url': 'https://genomic.social/tags/a16z'}]",0,0
140,111253110182200309,"<p><a href=""https://youtube.com/watch?v=zvsEW95Z3yM&amp;si=LXUJs5AOFmo61PgZ"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">youtube.com/watch?v=zvsEW95Z3y</span><span class=""invisible"">M&amp;si=LXUJs5AOFmo61PgZ</span></a> <br>⛔️🇺🇦In the Avdiivka direction, the enemy does not stop assaults (Ukrinform - Ukrainian National News Agency VIDEO) <a href=""https://mastodon.online/tags/Ukraine"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Ukraine</span></a> <a href=""https://mastodon.online/tags/Mastodon"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Mastodon</span></a> <a href=""https://mastodon.online/tags/Press"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Press</span></a> <a href=""https://mastodon.online/tags/News"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>News</span></a> <a href=""https://mastodon.online/tags/russia"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>russia</span></a> <a href=""https://mastodon.online/tags/russiaUkraineWar"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>russiaUkraineWar</span></a> <a href=""https://mastodon.online/tags/9yrInvasionofUkraine"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>9yrInvasionofUkraine</span></a>  <a href=""https://mastodon.online/tags/BoycottMusk"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>BoycottMusk</span></a>   <br><a href=""https://mastodon.online/tags/NoEUPrezForHungary"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>NoEUPrezForHungary</span></a><br><a href=""https://mastodon.online/tags/NoUSRepublicans2024"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>NoUSRepublicans2024</span></a></p>",2023-10-18 00:08:58+00:00,[],"[{'name': 'ukraine', 'url': 'https://genomic.social/tags/ukraine'}, {'name': 'mastodon', 'url': 'https://genomic.social/tags/mastodon'}, {'name': 'press', 'url': 'https://genomic.social/tags/press'}, {'name': 'news', 'url': 'https://genomic.social/tags/news'}, {'name': 'russia', 'url': 'https://genomic.social/tags/russia'}, {'name': 'RussiaUkraineWar', 'url': 'https://genomic.social/tags/RussiaUkraineWar'}, {'name': '9yrinvasionofukraine', 'url': 'https://genomic.social/tags/9yrinvasionofukraine'}, {'name': 'boycottmusk', 'url': 'https://genomic.social/tags/boycottmusk'}, {'name': 'noeuprezforhungary', 'url': 'https://genomic.social/tags/noeuprezforhungary'}, {'name': 'nousrepublicans2024', 'url': 'https://genomic.social/tags/nousrepublicans2024'}]",0,0
176,111253118440112088,<p>Why don’t they make generic gushers</p>,2023-10-18 00:11:06+00:00,[],[],0,0
178,111253121740154402,"<p>Oh boy… if Twitter will require payment to use, I only see it accelerating its demise.</p><p><a href=""https://fortune.com/2023/10/17/twitter-x-charging-new-users-1-dollar-year-to-tweet/"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">fortune.com/2023/10/17/twitter</span><span class=""invisible"">-x-charging-new-users-1-dollar-year-to-tweet/</span></a></p><p>I’m still sad that mainly fellow computer folks have found a spot on mastodon, and like so many other groups of folks… haven’t.</p><p>If Twitter truly sinks we might get another wave of folks over. And we really should do better to make them feel welcome. Not police them unless they conform to someone’s made up rules. “Conform of leave” is how you end up with a homogenous group.</p>",2023-10-18 00:08:51+00:00,[],[],0,0
314,111253147344750252,"<p>remember when more and more people were saying ""This.""</p>",2023-10-18 00:18:27+00:00,[],[],0,0
424,111253200262929091,"<p><a href=""https://youtube.com/watch?v=c6lz7Cxzx1s&amp;si=cyQWkfsKIlGPM8QN"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">youtube.com/watch?v=c6lz7Cxzx1</span><span class=""invisible"">s&amp;si=cyQWkfsKIlGPM8QN</span></a> <br>‼️🇺🇦High-quality sweep of enemy dugouts by the AFU’s 110th Mechanized Bg (Ukrinform - Ukrainian National News Agency VIDEO) <a href=""https://mastodon.online/tags/Ukraine"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Ukraine</span></a> <a href=""https://mastodon.online/tags/Press"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Press</span></a> <a href=""https://mastodon.online/tags/News"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>News</span></a> <a href=""https://mastodon.online/tags/russia"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>russia</span></a> <a href=""https://mastodon.online/tags/russiaUkraineWar"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>russiaUkraineWar</span></a> <a href=""https://mastodon.online/tags/9yrInvasionofUkraine"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>9yrInvasionofUkraine</span></a>  <a href=""https://mastodon.online/tags/BoycottMusk"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>BoycottMusk</span></a>   <br><a href=""https://mastodon.online/tags/NoEUPrezForHungary"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>NoEUPrezForHungary</span></a><br><a href=""https://mastodon.online/tags/NoUSRepublicans2024"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>NoUSRepublicans2024</span></a></p>",2023-10-18 00:31:53+00:00,[],"[{'name': 'boycottmusk', 'url': 'https://genomic.social/tags/boycottmusk'}, {'name': 'noeuprezforhungary', 'url': 'https://genomic.social/tags/noeuprezforhungary'}, {'name': 'nousrepublicans2024', 'url': 'https://genomic.social/tags/nousrepublicans2024'}, {'name': 'ukraine', 'url': 'https://genomic.social/tags/ukraine'}, {'name': 'press', 'url': 'https://genomic.social/tags/press'}, {'name': 'news', 'url': 'https://genomic.social/tags/news'}, {'name': 'russia', 'url': 'https://genomic.social/tags/russia'}, {'name': 'RussiaUkraineWar', 'url': 'https://genomic.social/tags/RussiaUkraineWar'}, {'name': '9yrinvasionofukraine', 'url': 'https://genomic.social/tags/9yrinvasionofukraine'}]",0,0
495,111253225284171735,"<p>I completely forgot Kathy Bates was in this, playing an absolutely horrible, terrible character. </p><p>There seems like there's a mid-2000s vibe to a lot of the set design in the ""present day"" scenes. </p><p>Also maybe a mid-2000s vibe to a lot of the dialogue too. </p><p>There are some big cringe moments but I'm pretty sure it's doing it on purpose so I'm not too annoyed. I think.</p>",2023-10-18 00:38:14+00:00,[],[],0,0
529,111253237798163179,"<p>The AQS idea is simple and ""born scalable"": start with a single aggregate node (supernode) representing ALL items and then use query operators to explore the data. This idea works for both tabular and relational (graph) data.</p><p>We suggest six query operations (P^6): pivot, partition, peek, pile, project, and prune. Pivot splits supernodes on a criterion, partition lays out nodes, peek visualizes node contents, pile merges nodes, project starts new canvas, and prune deletes. 2/</p>",2023-10-18 00:41:25+00:00,[],[],0,0
