,rules
0,
1,be kind to each other
2,no harassment on users on this or other servers will be tolerated
3,no sexism racism homophobia transphobia or any type of discrimination based on origin culture gender or any type of a defining aspect of a person on this or other servers will be tolerated
4,if you share explicit images they must be under content warning and the persons on it must be over 18 and consenting to the pictures being taken this server is not made to share your porn collection youll get banned if you do that
5,decisions made by admins are final
6,treat others as you wish to be treated
7,use your best judgement and common sense
8,do not intentionally break the law
9,pour maintenir une instance tolérante cette instance est intolérante à lintolérance httpsfrwikipediaorgwikiparadoxe_de_la_tolc3a9rance
10,de ce fait les idées racistes xénophobes islamophobes antisémites confusionistes rougebrunes homophobes transphobes ne sont pas les bienvenues
11,les discussions doivent se faire dans le respect de tous et toutes
12,le spam nest pas bienvenu non plus
13,les photos de vélos doivent être prises côté transmission
14,cette instance se donne le droit de ne pas fédérer avec des serveurs qui hébergent des comptes qui ne respectent pas les quatre premières règles
15,cette instance ne fédérera pas avec des serveurs tenus par des entités qui ont été accusées par lonu davoir aidé un génocide
16,no racism sexism homophobia transphobia or other bigotry
17,no trolling bullying or harassment of other users on this instance or elsewhere honest conflicts are inevitable but if someone asks you to leave them alone you are expected to do so
18,no endorsement of racism sexism homophobia transphobia antisemitism etc period
19,mark images in your posts that could be inappropriate for public viewing as sensitive this includes graphic violence sexual content and images that may be shocking
20,do not publicly reveal the personal information of others this includes sharing the contents of other users followersonly posts or direct messages without permission
21,all content uploaded to this service must be legal in the united states
22,no spamming or otherwise abusing this service this includes followbots and other bots that interact with users without their consent
23,include a descriptive content warning cw if youre posting something that readers will likely find upsetting or prefer to be optin explicit discussion of sex and violence must always be cwd for everything else use your judgment
24,
25,オープンな場が持続するよう努力しよう
26,堅すぎず柔らかすぎず自己主張しつつ譲り合いつつ控え目ながら大胆に
27,情報は鵜呑みにせず検討して議論して解決しよう
28,バックグラウンドの違いを理解して認識の幅を広げよう
29,dont be a dick
30,dont get me in trouble with the law or my network provider
31,dont embarrass me in front of the other mastodon admins
32,youre in my house dont give me a reason to kick you out
33,if you cause problems i will deal with you based on my perception of the severity
34,this could be anywhere from telling you to knock it off up to deleting your account and everything associated with it blocking your ips at the firewall and reporting you to your isp and law enforcement
35,please dont make me do the latter seriously
36,no rssfeed bots not related to a clacks user
37,no corporate accounts
38,no purely advertising accounts advertising your own things provided its not _all_ you do is fine
39,no parody accounts
40,all explicit sexual or violent content should be behind a cw
41,no racism or advocation of racism
42,no sexism or advocation of sexism
43,no discrimination against gender and sexual minorities or advocation thereof
44,no xenophobic andor violent nationalism
45,当サーバーはヒーローバンクの話題に限定しません日常の雑談や制作の進捗などにどうぞまたフォローせず連合タイムラインやローカルタイムラインを見るだけの登録もokですただしフォロワー限定の投稿は表示されないため基本的にはフォローしてホームタイムラインで見ることをおすすめします
46,公開投稿は世界中のさまざまなサーバーへ配信されます連合タイムライン経由でさまざまなサーバーへ配信されることを忘れないでください
47,ミュートやブロックは積極的に自分の快適なタイムラインは自分で作る 同じ作品が好きでも性格や嗜好があう人もいればあわない人もいますunderbankblueではミュートやブロックの積極的な使用をおすすめします
48,r15以上の性表現が含まれる画像にはnsfw職場閲覧注意の機能を使って画像を伏せて下さい r18以上のえっち文章は強制ではありませんがcwコンテンツワーニングの機能を使って文章を伏せることをおすすめしています 文章のほうが制限がゆるいのは日本の法律に合わせています
49,愚痴などネガティブ要素の多い投稿はcwを活用して下さい 愚痴などの見る人を選びやすい要素の投稿はcwコンテンツワーニング機能を使って文章を伏せて投稿して下さいネガティブな発言を見たくない人への配慮となりますまたunderbankblueは愚痴や悩みの投稿を制限することはありませんもやもやした気持ちを言葉にすることにより自身の思考を整理する効果があるためです積極的に活用して下さい
50,当サーバー独自の禁止事項管理人の趣味嗜好の都合で以下の要素を禁止します これらはあくまで当インスタンス内での扱いであり該当する二次創作の存在そのものを否定するものではありません 作中キャラクターの安易な変態化但しキャラクターの真面目さ不器用さ等公式の性格を重んじた結果の行動であればこの限りではありません 作中キャラクターの安易な守銭奴化ヤクザ化但しキャラクターの真面目さ不器用さ等公式の性格を重んじた結果の行動であればこの限りではありません どこからどこまでかの基準は管理者xanacに委ねられます
51,ヘイトスピーチ思想の押し付け等他者の表現の自由を阻害する行為を禁止します最終的な判断は管理者がジャッジを下します
52,conformément aux lois françaises et à la jurisprudence les contenus pédopornographiques y compris sous forme dessinée sont illégaux et seront supprimés et les comptes concernés bloqués si distants ou supprimés si local
53,la publicité sous forme répétée etou intrusive faisant mention dautres utilisateurices nest pas acceptée les comptes concernés seront rendus invisibles aux flux locaux et fédérés ou supprimés selon la gravité de la situation
54,sont interdits les propos images ou vidéos racistes sexistes homophobes ou transphobes
55,sont interdit toute conduite en public ou en privé ayant pour but de traquer harceler ou intimider dautres personnes
56,il est interdit de rassembler publier disséminer les informations personnelles dune autre personne sans son autorisation explicite
57,sont interdit toute conduite en public ou en privé ayant pour but de traquer harceler ou intimider dautres personnes
58,post good please
59,personal attacks derogatory remarks or discriminatory behaviour towards others based on any personal characteristics will not be tolerated
60,content that is considered obscene libelous hate speech or otherwise unlawful under canadian law will be removed immediately and the user who posted it banned without warning
61,users are responsible for vetting articleslinks they post or share users who deliberately and repeatedly post fake news without stating it is as such will be suspended or banned
62,bots are allowed only if they do not clutter the timeline perform mass follows or otherwise engage with other users without their permission please contact site administration before using bots to be sure they are appropriate or the bot may be banned
63,accounts that mislead or misrepresent the true identity of a user will be banned immediately no fake celebrities allowed unless the profile explicitly states it is fake
64,advertisements of any kind without the express written permission of site administration are prohibited please ask permission before posting anything of a commercial nature
65,use content warnings for sensitive topics such topics include lewdsexual content expressly political discussions healthsicknessdisorders picturesmedia that could be disturbing or harmful such as flashing images or loud sounds willful violators will have accounts silenced
66,絶対ネタバレは禁止ですリアル脱出ゲーム好きはわかりますね
67,cw や nsfw をつけたとしてもこのサーバでは18禁ネタは禁止です
68,bot や多量のフォローインポートなど当サーバへの負荷他サーバへの迷惑になる行為は禁止です
69,法律は守ってくださいね
70,迷惑ユーザと判断した場合はそのユーザを停止することがあります
71,on reste courtois sur ce site
72,on respecte la légalité
73,liberté égalité fraternité vous êtes libres de penser ce que vous voulez pas de lécrire ici merci de me signaler toute publication qui suggèrerait que certains humains sont supérieurs ou inférieurs à dautres pas chez moi
74,ici on respecte les règles de trapouille des éléphants et contrairement à ce que lon dit les mammouths sont des gars très polis bien rasés les ongles vernis
75,公序良俗と法に反せず各位仲良くワイワイやってね
76,no racism homophobia transphobia sexism or bigotry of any kind automatic ban or instance block when this is obviously observed
77,avoid pedantic nitpicking no one can be 100 perfect on 100 of the issues 100 of the time when tempted ask yourself if youre actually helping to educate someone or just stroking your own ego
78,engage in good faith and give people benefit of the doubt life is a learning experience and everyone makes mistakes remember the human
79,exploitation of rules 2 and 3 in order to stealthily engage in any form of harassment including breaking rule 1 is grounds for a ban or instance block
80,this server is not public open
81,no hate speech allowed no racism sexism transphobia ableism fatphobia and in general harrassment
82,use cws as much as possible general topics to cw are nudity hate speech when referring to it violence politics you can also use cws as spoilers warnings for movies games
83,always cw nsfw content and mark it as sensible
84,avoid public settling of differences if you have a problem with anyone try to resolve it privately or contact the moderation team unwanted subtoot is not allowed
85,do not harass anyone dont send targeted hatred to someone repeated attacks to a specific person participate in mass bullying
86,本日は晴天なり
87,sexually explicit or violent media must be marked as sensitive when posting
88,no racism sexism homophobia transphobia xenophobia or casteism
89,no incitement of violence or promotion of violent ideologies
90,no harassment dogpiling or doxxing of other users
91,no content illegal in germany
92,toots should be written in english french or dutch until we have more moderators we cannot add other languages
93,dont be an idiot
94,佛系不论政
95,荒らさない 無用な連投やふぁぼブースト連打は本サーバーやネットワークに負荷をかけるだけです ネタとしてやるならokですが常識の範囲でね
96,法律の範囲で自由 何を発言しても何を投稿しても問題ないけど国内法に触れない範囲で もちろん人が嫌がることはしちゃダメです
97,みんな仲良く 人数が少ない招待制サーバーなのでギスギスしてるよりはほんわか仲良くありたいものです
98,cwnsfwを活用しよう 長ーい長文を投稿する時やセンシティブな話題を投稿するときは積極的にcwを活用しようね 成人向け画像を投稿する時にはnsfwを活用しようね
99,dont be a dick
100,dont spam
101,dont sockpuppet
102,mod and admin decisions are final
103,be excellent to each other
104,i already spend too much time on this machine dont make me waste more time i am the superuser and have little patience
105,マインクラフトを使用する場合はそのeulaと関連する規約を守ってください
106,マインクラフトのmodプラグインその他これに類するものを使用する場合はそれらの利用規約を守ってください
