,rules
0,
1,
2,
3,
4,
5,
6,voir la section a propos
7,pas de bigotrie misogynie racisme lgbtphobiesqueerphobie validisme etc
8,la pornographie et la nudité doivent être obligatoirement indiquées comme nsfw de même pour contenus sensibleschoquants qui doivent avoir un content warning approprié
9,pas de publicités
10,pas de contenus illégaux
11,read the full code of conduct and abide by the rules httpstootcafeaboutmore
12,pas de contenu illicite
13,sexually explicit or violent media must be marked as sensitive when posting
14,no racism sexism homophobia transphobia xenophobia or casteism
15,no incitement of violence or promotion of violent ideologies
16,no harassment dogpiling or doxxing of other users
17,do not share intentionally false or misleading information
18,относитесь к другим пользователям с уважением харрасмент разжигание ненависти hate speech трансфобия гомофобия расизм сексизм фашизм и прочие проявления шовинизма запрещены
19,не разглашать чужую персональную информацию без согласия это относится как к пользователям сервера так и к людям вне него
20,администрация серверамодерационный состав оставляет за собой право решать спорные случаи исходя из ситуации и с учётом предыдущих жалоб на пользователей
21,уважаемые щитпостеры просим вас знать меру и не засорять ленты спамом излишнее злоупотребление будет наказываться
22,проставляйте content warning и nsfwметки на спорный контент политика описаниеизображения жестоких сцен сцен насилия крови порнографии эротики хентая использование оскорбительной лексики итп
23,свобода слова не означает вседозволенность
24,размещение рекламного контента рекламирование внешних ресурсов или размещение ссылок на внешние ресурсы с целью рекламы будет рассматриваться администрацией в некоторых случаях могут быть применены меры
25,убедительная просьба заполняйте описания картинок это не обязательно но очень сильно выручает незрячих пользователей и не отнимает много времени
26,для регистрирующихся заявки в которых меньше пяти слов отклоняются автоматически если не знаете что написать напишите о себе своих интересах или как узнали о мастодонефедивёрсе
27,public francophone pro mais aussi familial donc bienveillance respect courtoisie bref des choses qui devraient aller sans dire sexe violence extrémismes en tous genres et trolls ne sont pas les bienvenus sur la place du village zaclys merci
28,important pour permettre votre inscription il faut rédiger 3 belles phrases de présentation détaillant les valeurs que vous partagez avec zaclys ainsi que vos centres dintérêts puis valider votre email via le mail envoyé à cette adresse
29,bots are allowed on this server as long as they are useful interesting or amusing bots that post excessively that simply boost or link other posts that just follow other users or that produce badlyformed output will be suspended
30,commercial use company accounts advertising etc is not permitted on this server its ok to register an account for a nonprofit or public sector organisation and we reserve the right to make exceptions for some companies that act in good faith
31,you must comply with the code of conduct see below in general be respectful of each other and well all get on just fine
32,no commercial accounts advertising or excessive promotion
33,no bots unless theyre cute funny or useful bots should avoid posting to the public timeline
34,no gore or graphic violence
35,content that is borderline nsfw or could be construed as nsfw at a glance should be put behind a cw content warning
36,no racism
37,no sexism
38,no discrimination based on gender sexual minority sexual orientation disability physical appearance body size race ethnicity religion or lack thereof or national origin
39,no xenophobia or violent nationalism
40,no sexual depictions of children
41,no holocaust denialism nazi symbolism or promotion of national socialism
42,no stalking or harassment
43,no fake accounts unless they are clearly labeled as such
44,no solicitation of prostitution
