,rules
0,for an extended description of every rule please read our about page
1,be friendly
2,dont start shit
3,obey the law
4,spam is not allowed
5,be aware of the nature of the network
6,fascism is incompatible with a free exchange of ideas
7,admin decisions are final
8,these goal of these rules is to ensure a safe and welcoming environment
9,ｔ ａ ｎ ａ ｓ ｉ ｎ ｎ
10,respect everyone we actively moderate against racism sexism homophobia transphobia any kind of discrimination
11,no nsfw without at least having a contentwarning andor posting as unlisted
12,any content that is illegal in belgium france or germany is prohibited
13,do not gather information about our users by means of web scrapers or other software alike
14,dont spam
15,respect each other
16,dont spam
17,dont post illegal content
18,nsfw content should be posted under content warning the nsfw filter or as unlisted
19,use content warning for spoilers
20,bots and commercial accounts are prohibited
21,accounts with lots of media content imagesvideosaudio are prohibited hosting costs money
22,your account may be frozen silenced or suspended for any reason at the discretion of the moderators racists nazis xenophobes transphobes complotists antivaxxers prolifers etc are not welcome
23,accounts that are inactive not signed in for more than a year will be deleted the username will not be freed
24,louverture et lutilisation dun compte sur cette instance implique le respect de la législation française en vigueur
25,tout contenu manifestement illégal sera supprimé ou bloqué dès lors quil est signalé à léquipe de modération
26,afin de ne pas encourager le harcèlement en ligne tout pouet signalé comme injurieux ou constituant aux yeux des personnes qui le voient une agression sera supprimé la répétition des signalements de ce type peut entrainer la suspension du compte ajout le 2 août 2023
27,le fascisme le racisme et lantisémitisme avancent souvent masqués sur les réseaux sociaux si un pouet est signalé pour lune de ces raisons il sera traité et supprimé comme tel même sil peut paraitre inoffensif la répétition des signalements amènera à la suspension du compte
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,look at and comply with our social contract
39,participate in an authentic and active way in doing so you contribute to the health and longevity of this community
40,exercise consideration and respect in your speech and actions
41,attempt collaboration before conflict
42,refrain from demeaning discriminatory or harassing behavior and speech
43,be mindful of your surroundings and of your fellow participants alert community leaders if you notice a dangerous situation someone in distress or violations of this code of conduct even if they seem inconsequential
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,你發佈的內容屬於你你需要為它們負責 you own what you post and are responsible for it
61,請勿發佈惡意傷害性騷擾歧視或非法的內容 no malicious abusive harassment discriminatory violent or illegal content
62,我們不保證能長期在線或者效能流暢請緊記備份 we cannot guarantee the availability or performance of this service
63,你的 ip 位址活動時間活動網址均有紀錄以作維護本站服務用途 your ip address time request url is logged on the server for maintenance purpose
64,伺服器守則可能會在未來進行修訂 this server rule may be modified in the future
65,no harassment for a detailed definition refer to the xoxo code of conduct at xoxofestcomconduct
66,no hate speech including but not limited to sexist racist homophobic and transphobic posts
67,no illegal content or activity
68,use content warnings for adult content or posts that may be disturbing or triggering
69,no sharing personal information about others without their consent
70,no intentional sharing of false or misleading information
71,no spam selfpromotion is welcome sending mass unsolicited replies is not
72,this is a safe and welcoming community abusive or antisocial behaviour will not be tolerated
73,in particular no hate speech or bigotry including dogwhistles implicit but deliberate discrimination through coded language
74,no posting others personal information or private exchanges without permission
75,do not continue to engage a person or incite others to do so after they have requested otherwise
76,no content that is illegal in the united kingdom germany or france this includes grey area content such as sexualized artistic depictions of minors
77,sexual or sexually suggestive content must be tagged as such with a clear content warning avatars and profile banners must be clean
78,same goes for artistic depictions of graphic violence or gore real pictures and recordings of gore and violence are generally not acceptable you better have a really good reason shock value is not a good reason
79,bots are ok as long as they dont post to the public tl more than twice a day and dont interact with folks out of the blue that means no followbots
80,when in doubt about something youd like to post ask a mod when in doubt about something you saw posted report liberally
81,we may take administrative action for reasons not listed here
82,fühl dich wie zu hause in bonn benimm dich so als könnten wir uns morgen wieder persönlich auf der straße begegnen
83,als nutzerin von bonnsocial bist du für deine eigenen inhalte verantwortlich
84,missbrauch kannst du mit den reportingtools oder unter emailbonndigital melden
85,wir entwickeln die regeln für diese instanz so weiter dass sich hier jeder wohlfühlen kann
86,このサーバーが設置されている日本の法律に従ってください
87,故意にこのサーバーや連合している他のサーバーそしてそれぞれのユーザーに迷惑をかけないでください
88,人であることをバレてはいけない
89,あなたはbotそうあなたはbotなのです
90,no racism
91,no sexism
92,no queerphobia
93,no fascists or fascist adjacents
94,no ableism
95,みんななかよく
96,日本国内の法律及び各自治体の条例を守ってください
97,過度に露骨な性や暴力を表現した投稿はしないでください
98,差別的な行為や誹謗中傷などは行わないでください
99,no se aceptan cuentas ni bots de marketing
100,no porn de ningún tipo soft loli etc
101,no discriminación raza género preferencia identidad clase etc
102,no se acepta propaganda política de ningún tipo de ninguna persona de ningún país
103,no spam usar la cuenta solo para anunciar productosservicios crossposting postear imágenes yo texto indiscriminadamente etc
104,toda expresión de odio acoso o ataque personal está prohibido
105,todo tema controversial como política debe publicarse con un content warning cw
106,no difusión de contenidoactividad ilegales en uruguay
107,no contenido con pedofília acoso doxxing o violencia explícita
108,no discriminación homofobia xenofobia sexismo discurso de odio
109,no contenido o apología a la violencia fascismo o nazismo
110,no inundar visualmente ni bots ni cuentas con fines de marketing
111,no publicaciones sexualmente explícitas sin advertencia de contenido
112,nie używaj rasistowskich seksistowskich homofobicznych transfobicznych ableistycznych lub w inny sposób dyskryminujących innych ludzi wypowiedzi unikaj języka nienawiści nie promuj nienawistnych ideologii
113,nie wolno nękać ani uczestniczyć w grupowym nękaniu kogokolwiek lub w inny sposób angażować się w ataki osobiste publikowanie lub grożenie publikacją danych osobowych innych osób jest traktowane jako nękanie
114,pisanie postów za pomocą automatycznego narzędzia jest w porządku o ile jesteś aktywnym członkiem społeczności nie lubimy kont których aktywność sprowadza się jedynie do automatycznej publikacji postów
115,nie zamieszczaj spamu tooty posty które nie są niczym innym niż linkiem ilub zawierają nadmierną ilość hashtagów możemy potraktować jako spam podobnie jak każdą nadmiernie komercyjną autopromocję pisz o swojej działalności ale nie rób tego w przesadnie komercyjny sposób
116,unikaj publikacji postów na tematy zapalne i kontrowersyjne bez ostrzeżenia o takiej treści mastodon ma narzędzie do oznaczania takich postów więc korzystaj z niego jeśli publikowana treść może być kontrowersyjna dla niektórych odbiorców
117,staraj się nie angażować w wyzwiska nieprzyjemne epitety ataki ad hominem ani inne niegodne zachowania krytykuj idee niekoniecznie ludzi
118,nie stawaj w roli policjanta wpis może naruszać standardy grzeczności które ustaliliśmy ale postaraj się nie krytykować użytkowników za jego sposób czy ton komunikacji nie angażuj sie w to jeśli w jakiś sposób dana ci przeszkadza możesz użytkownika zgłosić lub nie krępuj się go zablokować
119,mastodonpl to instancja dla polskiej społeczności stąd taka domena i nazwa mastodon polska staraj się pisać w naszym ojczystym języku dopuszczamy język angielski ale umówmy się niech to nie będzie język dominujący i jedyny w twoich postach
120,日本国内法は守ってください
121,露骨な性表現や暴力的なメディアの禁止
122,差別行為暴力行為を行わないこと
123,他のユーザーに対する嫌がらせ行為の禁止
124,the safety of yourself of others and of property should have highest priority
125,safety is more important than getting boosts and faves
126,be subtle leave no evidence you were here
127,brute force is the last resort of the incompetent
128,leave things as you found them or better cause no permanent damage while on this instance if you find something broken contact an admin
129,do not steal anything if you must borrow something leave a note saying when it will be returned and remember to return it
130,do not drop things without a ground crew to make sure no one is underneath
131,shitposts are not graffiti and should not be seen by the general public shitposts exhibit ones pride in having had an interesting thought and should be seen only by other fedizens keep shitposts small and respect other posters shitposts
132,never drink and post
133,never post alone have someone who can get help in an emergency
134,know your limitations and do not exceed them if you do not know how to boost a post send a dm etc then learn from someone who knows before trying
135,learn how not to get caught but if you do get caught accept gracefully and coöperate fully
136,share your knowledge and experience with other posters
137,above all exercise common sense
138,テーマは設けていません自由に投稿してください
139,エログロやspam過度の連投や自動大量フォロー個人情報の書き込みの他法に抵触する可能性のある投稿があった場合には管理人の判断で予告なく消去する場合アカウントの停止を行う場合がありますまた成人向画像についてはたとえ画像にnsfwの処置があっても管理人の判断で予告なく消去する場合アカウントの停止を行う場合があります
140,人種差別外国人差別民族差別性差別lgbtq差別などの差別発言やヘイト発言またそうした差別につながる可能性のある発言も厳禁です
141,小児性愛など性的な同意をすることができない対象に対する性的欲求の発露表現画像テキストの掲示を行うことを禁止します社会的な話題として小児性愛について扱うときには内面で幼児小児を対象とした性愛性的嗜好を持つペドフィリアと違法行為を実行する児童性虐待者チャイルドマレスターを混同せず区別して論じてください
142,その他 規約に明確に規定されていなくても管理者の判断で不適切と判断した場合投稿に関する削除停止修正要請を行う場合やアカウントの制限停止削除を行う場合があります
143,please be open to any user or any content that hold different opinions with you
144,any content that introduces or instigates criminal offenses or introducing others to approach incite violence or any terrorism content or personal attacks towards other users are prohibited
