,id,content,created_at,mentions,tags,favourites_count,replies_count
130,111270071119330957,<p>horses don't get fired. horses don't have to take out the trash.</p>,2023-10-21 00:02:24+00:00,[],[],0,0
212,111270144249744559,"<p>🎵  Tech N9ne - Am I A Psycho? </p><p><a href=""https://youtu.be/JCnMO7TZekc?si=NwLekveoL1XD4adT"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">youtu.be/JCnMO7TZekc?si=NwLekv</span><span class=""invisible"">eoL1XD4adT</span></a></p><p>🎶<br>Why did I let this stripper burn me on my arm with a cigarette<br>In the same spot 10 times in a row when I felt that burn<br>I palm the clitoris, I'mma get her wet<br>Sorry to get carried away, I feel stupid cause I ain't did her yet<br>Maybe she never let a fine nigga stare at her breasts<br>I get vexed so N9ne bit her neck<br>🎶</p>",2023-10-21 00:20:57+00:00,[],[],0,0
254,111270163695502532,"<p>🎵&nbsp;&nbsp;Tech N9ne - Am I A Psycho? </p><p><a href=""https://youtu.be/JCnMO7TZekc?si=NwLekveoL1XD4adT"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">youtu.be/JCnMO7TZekc?si=NwLekv</span><span class=""invisible"">eoL1XD4adT</span></a></p><p>🎶I'm sorry, I didn't mean to hurt your feelings<br>I see your tears, come here, give me your face, let me clear it<br>But I wonder how it would look if I were to peel it back with a skillet<br>Then I'mma feel it crack when I hit it<br>Then I'mma split it back when you heal it<br>Dammit Bobby boy, What in the hell? What in the heaven?<br>What in the Earth?<br>Where is your mom? What are you, cursed? 🎶</p>",2023-10-21 00:25:54+00:00,[],[],0,0
287,111270177317501674,"<p>Secondly, Discord's search would have me believe that i have never messaged <span class=""h-card"" translate=""no""><a href=""https://mastodon.online/@AshCarnelian"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>AshCarnelian</span></a></span> about botflies before, and that can't possibly be correct.</p>",2023-10-21 00:29:24+00:00,"[{'id': 109308878201689268, 'username': 'AshCarnelian', 'url': 'https://mastodon.online/@AshCarnelian', 'acct': 'AshCarnelian@mastodon.online'}]",[],0,0
303,111270174618965885,"<p>The clown show that is the Michigan GOP continues. The party, which already has serious financial issues, took out a loan to pay for a speaker at its Mackinac Island conference. The conference, normally a fundraiser, lost money this year.</p><p><a href=""https://www.bridgemi.com/michigan-government/karamo-blames-deep-state-mackinac-fundraiser-drives-gop-deeper-debt"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">bridgemi.com/michigan-governme</span><span class=""invisible"">nt/karamo-blames-deep-state-mackinac-fundraiser-drives-gop-deeper-debt</span></a></p>",2023-10-21 00:28:43+00:00,[],[],0,0
312,111270080956033194,"<p>Latest completed commission for a regular client. Another opportunity to get better at drawing tailored suits. They specifically told me that this character was their “fan service” character in the world that they are building and wanted him to look like an anime pretty boy. <a href=""https://social.yesterweb.org/tags/mastoart"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>mastoart</span></a> <a href=""https://social.yesterweb.org/tags/art"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>art</span></a> <a href=""https://social.yesterweb.org/tags/commissions"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>commissions</span></a> <a href=""https://social.yesterweb.org/tags/commissionsopen"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>commissionsopen</span></a> <a href=""https://social.yesterweb.org/tags/ttrpg"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>ttrpg</span></a> (CW because he is holding a gun)</p>",2023-10-21 00:04:54+00:00,[],"[{'name': 'MastoArt', 'url': 'https://genomic.social/tags/MastoArt'}, {'name': 'art', 'url': 'https://genomic.social/tags/art'}, {'name': 'commissions', 'url': 'https://genomic.social/tags/commissions'}, {'name': 'CommissionsOpen', 'url': 'https://genomic.social/tags/CommissionsOpen'}, {'name': 'ttrpg', 'url': 'https://genomic.social/tags/ttrpg'}]",0,0
325,111270191142499149,"<p>Michael Dorn was magnificent, as was <span class=""h-card""><a href=""https://mastodon.world/@JeriLRyan"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>JeriLRyan</span></a></span>. Patrick Stewart was... well,  Patrick Stewart. </p><p>Actual Alice Krige as the manky borg queen! Bonus Q! Majel Barrett computer voice! WALTER KOENIG! Geordi/Data! Deanna saving the boys! The only fanservice they could have given me that would have made me happier would have been Tony Todd as Worf's brother, and, of course, Janeway. All the Janeway. Oh Captain, My Captain.</p><p>So yeah, I enjoyed it. I really did. Not to the level of Prodigy, or SNW, but I liked it, and I'm glad it got made.</p>",2023-10-21 00:32:41+00:00,"[{'id': 109372333706418857, 'username': 'JeriLRyan', 'url': 'https://mastodon.world/@JeriLRyan', 'acct': 'JeriLRyan@mastodon.world'}]",[],0,0
379,111269925173624031,"<p>Fucking Gym Jordan actually thought he'd make a career of lying and covering up crimes and then waltz right into one of the most powerful positions in the US government. LMAO Eat glass, loser. Get bent. Turn blue. Crawl back under your rock, you fucking worm.</p>",2023-10-20 23:25:17+00:00,[],[],0,0
380,111269385360045848,"<p>reading the guile manual's section on history, and laughing a bit cause it says Guy Steele and Gerald Sussman ""discovered"" Scheme.</p><p>as if there's some platonic ideal of scheme that was just waiting to be discovered, and not something they designed</p><p>on the other hand, imagine if scheme was actually some universal constant, and any and every space-faring civilization we may encounter also used scheme. and like the first message we pick up from them is a scheme program. immediately some lisp pervert bursts into the room and says ""move over, i've been preparing my whole life for this""</p><p>oops! the bot realized this leads to Bad End: the lisp pervert dislikes a particular feature of the extraterrestrial scheme dialect, and offends the visitors with their unsolicited criticism! the Earth gets destroyed and turned into a hyperspace expressway à la Hitchhiker's Guide</p>",2023-10-20 21:08:00+00:00,[],[],0,0
474,111270262235965380,"<p>New paper today in Science indicates 3 years of marine heatwaves has led to Bering Sea snow crab populations to crash by *10 billion*, due to temperature-related starvation, predation, and disease.</p><p>This is one of the biggest losses of marine animal life in history, and impacts countless Native &amp; rural Alaskan fisheries and food supplies, and other commercial fisheries around the world.</p><p><a href=""https://www.science.org/doi/10.1126/science.adf6035"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">science.org/doi/10.1126/scienc</span><span class=""invisible"">e.adf6035</span></a></p>",2023-10-21 00:50:54+00:00,[],[],0,0
488,111270269664292823,"<p>21 Limpid Fish Spirit</p><p><a href=""https://music.mikelynch.org/library/tracks/435/"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">music.mikelynch.org/library/tr</span><span class=""invisible"">acks/435/</span></a></p><p><a href=""https://aus.social/tags/looptober"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>looptober</span></a> <a href=""https://aus.social/tags/looptober23"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>looptober23</span></a> <a href=""https://aus.social/tags/looptoberfsvo"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>looptoberfsvo</span></a></p>",2023-10-21 00:52:52+00:00,[],"[{'name': 'looptober', 'url': 'https://genomic.social/tags/looptober'}, {'name': 'looptober23', 'url': 'https://genomic.social/tags/looptober23'}, {'name': 'looptoberfsvo', 'url': 'https://genomic.social/tags/looptoberfsvo'}]",0,0
518,111270287762967339,"<p>Ringling High School football coach finally charged after years of abuse of students.</p><p>Ryan Walters has ignored this while going after drag queens, communists teaching in Tulsa Public Schools, and trying to remove teaching certificate of english teacher who shared a QR code for access to banned books at NY library. While he ignores real abuse.</p><p><a href=""https://www.thedailybeast.com/famed-ringling-high-school-football-coach-phil-koons-charged-in-oklahoma-amid-shocking-abuse-claims?via=ios"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">thedailybeast.com/famed-ringli</span><span class=""invisible"">ng-high-school-football-coach-phil-koons-charged-in-oklahoma-amid-shocking-abuse-claims?via=ios</span></a></p>",2023-10-21 00:57:05+00:00,[],[],0,0
573,111270312564237709,"<p>If I encountered an unexpected loss of data, I would simply change the entire circumstances, in advance, such that your solution is grossly misdirected, I can never encounter that problem in my new timeline</p><p>Therefore your solution is dumb &amp; I need to tell you this in public so you never forget it.</p>",2023-10-21 01:03:33+00:00,[],[],0,0
594,111270325969423227,"<p>I've long railed against posting links to Forbes. com because it's basically the equivalent of Medium now.  There's no news org behind what you see.  It's ""contributors"" writing what they hope will make them famous or rich.</p><p>And now, it turns out it's been secretly purchased by a Russian oligarch through a straw buyer.</p><p><a href=""https://wapo.st/3Qo4DEA"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class="""">wapo.st/3Qo4DEA</span><span class=""invisible""></span></a></p>",2023-10-21 01:07:09+00:00,[],[],0,0
629,111270343452906346,"<p>ich brauche dringend jemanden, der mich in den Arm nimmt und stundenlang heulen lässt; nehme Bewerbungen entgegen</p>",2023-10-21 01:11:37+00:00,[],[],0,0
714,111270384546805850,<p>.　　　✵  <br> 　<br> ”””””””””””””””””””””””””””””””””””””””””<br> 　　　   °    　　           　　　</p>,2023-10-21 01:22:05+00:00,[],[],0,0
777,111270313041369348,"<p>boosting with CW:<br><a href=""https://hachyderm.io/@jimfl/111270217850111414"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">hachyderm.io/@jimfl/1112702178</span><span class=""invisible"">50111414</span></a></p>",2023-10-21 01:03:55+00:00,[],[],0,0
785,111270406009602969,<p>is kinksexual a thing?</p>,2023-10-21 01:27:34+00:00,[],[],0,0
801,111270438025411586,"<p>Unseen Guest: ""Don't Let It Show"" <a href=""https://www.youtube.com/watch?v=Khc6IuzoR24"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">youtube.com/watch?v=Khc6IuzoR2</span><span class=""invisible"">4</span></a></p>",2023-10-21 01:35:42+00:00,[],[],0,0
