,Unnamed: 0,instance,rule,preprocessed rules,lang,translated rules
0,6,social.troll.academy,Be excellent to each other,be excellent to each other,English,be excellent to each other
1,7,kosmos.social,Be excellent to each other.,be excellent to each other,English,be excellent to each other
2,8,kosmos.social,Check the detailed server rules for more information: https://kosmos.social/about#server-rules,check the detailed server rules for more information httpskosmossocialaboutserverrules,English,check the detailed server rules for more information httpskosmossocialaboutserverrules
3,9,mastodon.tokyo,利用者は日本の法令や当サーバーにも適用される海外法令、利用規約、プライバシーポリシーを遵守するものとします。 ,利用者は日本の法令や当サーバーにも適用される海外法令利用規約プライバシーポリシーを遵守するものとします,non-Englsih,"The user shall comply with the Privacy Policy of the Overseas Legal Uses, which are applied to Japanese laws and regulations and this server."
4,10,mastodon.tokyo,利用者はスパム、差別・フォビア（嫌悪）発言およびその助長、重大な虚偽の主張、他社の生命や財産の危険を招く行為、運営の妨害を行わないものとします。 ,利用者はスパム差別フォビア嫌悪発言およびその助長重大な虚偽の主張他社の生命や財産の危険を招く行為運営の妨害を行わないものとします,non-Englsih,The user shall not hinder the operation of spam discrimination Fobia disgusting and its augmented false claims that can lead to the risk of life and property of other companies.
5,11,mastodon.tokyo,利用者は13歳以上で、ご自分の国において個人情報の処理に同意するために十分な年齢に達しているものとします（一部の国では、ユーザーに代わって親または保護者の方に同意してもらうことを許可する場合があります）。,利用者は13歳以上でご自分の国において個人情報の処理に同意するために十分な年齢に達しているものとします一部の国ではユーザーに代わって親または保護者の方に同意してもらうことを許可する場合があります,non-Englsih,"The user is 13 years old and over and has reached the ages to agree to the processing of personal information in his country. In some countries, we agree with parents or parents on behalf of users.You may be allowed to get"
6,12,mastodon.cemea.org,"Cette instance Mastodon est destinée à accueillir des comptes de salarié·e·s ou militant·e·s des Ceméa. Elle traite plutôt des problématiques d'Éducation Populaire et d'Éducation Nouvelle. Elle est modérée par l'équipe des adminstrateurs système de l'Association Nationale des Ceméa.
",cette instance mastodon est destinée à accueillir des comptes de salariées ou militantes des ceméa elle traite plutôt des problématiques déducation populaire et déducation nouvelle elle est modérée par léquipe des adminstrateurs système de lassociation nationale des ceméa,non-Englsih,"This Mastodon body is intended to welcome accounts of employees or militants of the Ceméa, it rather deals with problems with popular dedication and new dedication it is moderate by the admin of the administrative system of the national cemea lassociation"
7,13,mastodon.libre-entreprise.com,"La création de comptes sur cette instance est réservée aux salariés des entreprises membres du réseau Libre-Entreprise, ainsi qu'aux observateurs (https://www.libre-entreprise.org/)",la création de comptes sur cette instance est réservée aux salariés des entreprises membres du réseau libreentreprise ainsi quaux observateurs httpswwwlibreentrepriseorg,non-Englsih,"The creation of accounts on this body is reserved for employees of companies member of the free -entreprise network, thus almost HTTPSWWWWWWWLIBERentPriseorG observers"
8,14,amicale.net,"La Netiquette et la Loi, what else ?",la netiquette et la loi what else,non-Englsih,Netiquette and the law What else
9,15,mastodon.motcha.tech,日本国内法を守ってください,日本国内法を守ってください,non-Englsih,Please protect Japanese domestic law
