,Unnamed: 0,instance,rule,preprocessed rules,lang,translated rules
0,0,fouroclockfarms.club,"Be gay, grow wheat.
Follow the Code of Conduct ",be gay grow wheat follow the code of conduct,English,be gay grow wheat follow the code of conduct
1,1,fouroclockfarms.club,Trans Rights are Human Rights,trans rights are human rights,English,trans rights are human rights
2,2,fouroclockfarms.club,"Nudity, lewdity, violence, gore, drug & alcohol use, and sensitive images and topics must be behind a Content Warning and have media marked as 'Sensitive.'",nudity lewdity violence gore drug alcohol use and sensitive images and topics must be behind a content warning and have media marked as sensitive,English,nudity lewdity violence gore drug alcohol use and sensitive images and topics must be behind a content warning and have media marked as sensitive
3,3,fouroclockfarms.club,"No excessive posting of non-original content from other social media, or news sites.",no excessive posting of nonoriginal content from other social media or news sites,English,no excessive posting of nonoriginal content from other social media or news sites
4,4,fouroclockfarms.club,No bulk posting or spamming the timeline,no bulk posting or spamming the timeline,English,no bulk posting or spamming the timeline
5,5,fouroclockfarms.club,"Absolutely no sexual depictions of children or minors, including artistic depictions.",absolutely no sexual depictions of children or minors including artistic depictions,English,absolutely no sexual depictions of children or minors including artistic depictions
6,6,fouroclockfarms.club,"No commercial or third party advertising. Self promotion by creators, artists, sw, etc and sharing such content is fine. Posting/sharing mutual and community aid is also fine.",no commercial or third party advertising self promotion by creators artists sw etc and sharing such content is fine postingsharing mutual and community aid is also fine,English,no commercial or third party advertising self promotion by creators artists sw etc and sharing such content is fine postingsharing mutual and community aid is also fine
7,7,fouroclockfarms.club,"Purposefully avoiding proper names for people, places, things, events, technologies, ideologies, philosophies, etc, with the intent to bypass user filters will result in suspension.",purposefully avoiding proper names for people places things events technologies ideologies philosophies etc with the intent to bypass user filters will result in suspension,English,purposefully avoiding proper names for people places things events technologies ideologies philosophies etc with the intent to bypass user filters will result in suspension
8,8,dembowski.social,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English,sexually explicit or violent media must be marked as sensitive when posting
9,9,dembowski.social,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih,no racism sexism homophobia transphobia xenophobia or casteism
10,10,dembowski.social,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English,no incitement of violence or promotion of violent ideologies
11,11,dembowski.social,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English,no harassment dogpiling or doxxing of other users
12,12,dembowski.social,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English,do not share intentionally false or misleading information
