,id,content,created_at,mentions,tags,favourites_count,replies_count
7,111241751286589777,"<p>Video : <a href=""https://videosua.osintukraine.com/media/2023-10-15/47155.MP4"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">videosua.osintukraine.com/medi</span><span class=""invisible"">a/2023-10-15/47155.MP4</span></a> <br>Archive : <a href=""https://videosua.osintukraine.com/2023-10_6.html#47155"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">videosua.osintukraine.com/2023</span><span class=""invisible"">-10_6.html#47155</span></a></p>",2023-10-16 00:00:08+00:00,[],[],0,0
20,111241753078725239,"<p>Hernan Bas, Downhill at Dusk (The Runaway) (2008)</p><p><a href=""https://acg.mn/tags/expressionism"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>expressionism</span></a> <a href=""https://artvee.com/dl/downhill-at-dusk-the-runaway/"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">artvee.com/dl/downhill-at-dusk</span><span class=""invisible"">-the-runaway/</span></a></p>",2023-10-16 00:00:38+00:00,[],"[{'name': 'expressionism', 'url': 'https://ruhr.social/tags/expressionism'}]",0,0
39,111241754969936135,"<p>TRANSLATION :<br>A group flying to Mykolaiv turned back in the direction of Kherson region<br>  <br>New groups are leaving Kherson region for Mykolaiv region<br>  <br>Send news to @niko9_bot<br>👉 SUBSCRIBE<br>ORIGINAL :<br>Група, що летіла на Миколаїв розвернулась в напрямку Херсонщини  <br>  <br>Нові групи йдуть з Херсонщини н <br>Media :  <br>Archive : <a href=""https://ukraine.osintukraine.com/2023-10_27.html#578931"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">ukraine.osintukraine.com/2023-</span><span class=""invisible"">10_27.html#578931</span></a></p>",2023-10-16 00:01:03+00:00,[],[],0,0
47,111241755668661411,"<p>Video : <a href=""https://videosua.osintukraine.com/media/2023-10-15/47133.MP4"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">videosua.osintukraine.com/medi</span><span class=""invisible"">a/2023-10-15/47133.MP4</span></a> <br>Archive : <a href=""https://videosua.osintukraine.com/2023-10_6.html#47133"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">videosua.osintukraine.com/2023</span><span class=""invisible"">-10_6.html#47133</span></a></p>",2023-10-16 00:01:17+00:00,[],[],0,0
51,111241756372611999,"<p>TRANSLATION :<br>Zaporizhzhia - S-300 launches in the direction of the city. Explosions in the city.  <br>  <br><a href=""https://t.me/operativnoZSU"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class="""">t.me/operativnoZSU</span><span class=""invisible""></span></a><br>ORIGINAL :<br>Запоріжжя — пуски С-300 у напрямку міста. Вибухи в місті.  <br>  <br><a href=""https://t.me/operativnoZSU"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class="""">t.me/operativnoZSU</span><span class=""invisible""></span></a><br>SOURCE :<br><a href=""https://t.me/operativnoZSU/119184"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class="""">t.me/operativnoZSU/119184</span><span class=""invisible""></span></a><br>Оперативний ЗСУ <br>Media : <a href=""https://ukraine.osintukraine.com/media/2023-10-15/578925.jpg"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">ukraine.osintukraine.com/media</span><span class=""invisible"">/2023-10-15/578925.jpg</span></a> <br>Archive : <a href=""https://ukraine.osintukraine.com/2023-10_27.html#578925"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">ukraine.osintukraine.com/2023-</span><span class=""invisible"">10_27.html#578925</span></a></p>",2023-10-16 00:01:24+00:00,[],[],0,0
52,111241756636623340,"<p>Video : <a href=""https://videosua.osintukraine.com/media/2023-10-15/47133.MP4"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">videosua.osintukraine.com/medi</span><span class=""invisible"">a/2023-10-15/47133.MP4</span></a> <br>Archive : <a href=""https://videosua.osintukraine.com/2023-10_6.html#47133"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">videosua.osintukraine.com/2023</span><span class=""invisible"">-10_6.html#47133</span></a></p>",2023-10-16 00:01:24+00:00,[],[],0,0
53,111241756873509979,"<p>TRANSLATION :</p><p>ORIGINAL :</p><p>SOURCE :<br><a href=""https://t.me/kiber_boroshno/4639"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class="""">t.me/kiber_boroshno/4639</span><span class=""invisible""></span></a><br>КіберБорошно | CyberBoroshno <br>Media : <a href=""https://ukraine.osintukraine.com/media/2023-10-15/578808.jpg"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">ukraine.osintukraine.com/media</span><span class=""invisible"">/2023-10-15/578808.jpg</span></a> <br>Archive : <a href=""https://ukraine.osintukraine.com/2023-10_27.html#578808"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">ukraine.osintukraine.com/2023-</span><span class=""invisible"">10_27.html#578808</span></a></p>",2023-10-16 00:01:26+00:00,[],[],0,0
67,111241760283121524,"<p>Okay,  I  don't  know  if  its  because I  enjoyed  a football game  or  not   but  I'm  in  a  very   <a href=""https://tweesecake.social/tags/Kinky"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Kinky</span></a>  mode  right  now.  I  would love  to spend  hours  talking  about  <a href=""https://tweesecake.social/tags/Sex"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Sex</span></a>  and   <a href=""https://tweesecake.social/tags/Kinks"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Kinks</span></a>  for  the   fun  of  it  so  bring  it   on  and  boost  if  you   wanna  talk. I'm  open   to   new  stuff  too.  I  wanna  know  what  gets  your  motor  running.   Let's  have  some  fun!</p>",2023-10-16 00:02:33+00:00,[],"[{'name': 'kinky', 'url': 'https://ruhr.social/tags/kinky'}, {'name': 'sex', 'url': 'https://ruhr.social/tags/sex'}, {'name': 'kinks', 'url': 'https://ruhr.social/tags/kinks'}]",0,0
92,111241681737712067,"<p><span class=""h-card"" translate=""no""><a href=""https://techhub.social/@linuxgal"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>linuxgal</span></a></span></p>",2023-10-15 23:42:36+00:00,"[{'id': 109327231377525550, 'username': 'linuxgal', 'url': 'https://techhub.social/@linuxgal', 'acct': 'linuxgal@techhub.social'}]",[],0,0
104,111241770101084585,"<p>Gazastreifen: Palästinenserpräsident Mahmud Abbas distanziert sich von der Hamas</p><p>Die Aktionen der Hamas stünden nicht für das palästinensische Volk, sagt der Palästinenserpräsident. Er lehne die Tötung von Zivilisten auf beiden Seiten ab.</p><p><a href=""https://www.zeit.de/politik/ausland/2023-10/mahmud-abbas-palaestinenserpraesident-ablehnung-distanz-hamas"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">zeit.de/politik/ausland/2023-1</span><span class=""invisible"">0/mahmud-abbas-palaestinenserpraesident-ablehnung-distanz-hamas</span></a></p>",2023-10-16 00:05:03+00:00,[],[],0,0
